"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Urtica","dioica","Urtica dioica ssp. holosericea","2023-05-09","-119.73984","34.41068","","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica","2020-01-13","-120.045014","34.466087","15","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica","2019-11-29","-119.744465","34.403894","9","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica","2019-07-10","-120.52379","34.583848","252","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica","2019-04-30","-120.305241","34.604694","173","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica","2019-02-04","-120.588692","34.685722","12","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2018-07-23","-120.476974","34.624091","170","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-11-02","-120.383806","34.6301","56","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-10-10","-120.298453","34.524564","237","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-10-10","-120.194249","34.544176","188","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-27","-120.261025","34.798299","322","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-26","-120.42523","34.763174","100","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-26","-120.370181","34.75502","123","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-26","-120.245056","34.873028","173","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-26","-120.217048","34.814935","223","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-24","-120.370223","34.754481","123","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-20","-120.410451","34.568797","106","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-14","-120.54034","34.784355","36","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Urtica","dioica","Urtica dioica ssp. holosericea","2017-09-13","-120.457921","34.679218","60","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
